review,sentiment_score,sentiment
a very poor movie there were no germany squardons in the pacific poor acting setting story and message,-0.8396,Negative
i am really disappointed by this oxo turner i used it for the first time to make pancakes on a nonstick skillet upon first contact with the pan the edge blistered and frayed i doubt the pan was anywhere near the max  degreessince i cant return it i will use it for omelettes cooked at a lower temperature than pancakes and for transferring baking goods from baking sheets to cooling racki would not have spent the  for a singleuse turner this turner is good if you dont use it for high heat cooking,-0.6361,Negative
im not sorrry i plowed through this book but i sure wouldnt give it a great review atonement is so crammed with yes beautiful details that i found it claustrophobic and too dense i wasnt crazy about the way mcewen leapt through time either didnt register with me as true not even true certainly far from the best fiction i dont recommend buying this if you must see what all the fuss is about go to a librarywhat the fuss is about is his natural talent obvious hard work and character development i know that sounds like more than enough but for me it was decidedly less than enough  stars only,0.9833,Positive
excellent book the characterization was superb jake and zoe were both very real characters and the reader is left utterly convinced of their devotion to one another i see no problem with their year age difference i think most of us are openminded and mature enough to deal with that just fine it really isnt a problem nor should it be the idea of the forced cohabitation and the cameras is interesting oddly erotic and captivating to say the least i highly recommend this story i read the entire thing in one night couldnt put it down,0.9229,Positive
perfect retro cap i directed a play wherein one of the characters was a korean war vet the cap was a perfect fit to coin a phrase for the costume well made and had just the right amount of wear and tear built in,0.8591,Positive
the black robe is such an incredibly sad tale the scenery made me feel as cold as the characters in the elements and i found this movie to be really intense and dark some of the scenes were very disturbing but there is no doubt it did happen this way many times the sadness of what the huron and jesuits experienced is overwhelming i would highly recommend this movie but would caution the viewer about the brutality of some the scenes,-0.9424,Negative
man this was dissapointing my feelings cant be described using words this is definitely one of the most dissapointing movies ive ever seenand ive seen a lot of crap jodie foster shouldnt waste her talent on such a movie like panic room,-0.1779,Negative
i used to buy epson r compatibles from this store then they started selling them remanufactured and now they work for maybe one copy before they fade out completely do not waste your money,0.3809,Positive
very satisfied with the purchase book in excellent condition this book is such a refresher and go to if you become stuck on something in windows,0.6997,Positive
plugged it in and waited  seconds nothing the handle and the power cord started to heat up but the cutting end remained cold probably a short circuit inside the handle returned,-0.1901,Negative
i too would like to leave a review for this produce but i still have not recieved it i bought this system in early december from all american deals and still have not recieved it they even advertised it as in stock now the system is going for twice what i paid for as wellupdate  and still without the system i ordered im curious as to whats going to happen now ill wait  more months before asking for a refund stay tuned,-0.0258,Neutral
christ had a mission on this earth there was a prophesy that needed to be fulfiled for christ to be proven a real son of the god he had to perform the miracles did he perform the miricles as to get the credibility to represent his father or to save the humankindwhat if those people that the miracle was performed on didnt want to be saved was he prepared to wrongfuly harm a few people for the benefit of our race what an impact would such a assumtion have on our faithread the time of miracles as to get a difrent perspective on cristian mythology you will be amazed with the original and brave content of this book,0.9637,Positive
works better than i expected i will definitely consider your used or refurbished before the new units i thought i would take a chance on the used units to cut down on some of the cost the garmin  exceeded my expectations did not have any scratches on screen or sidesi would recommend this to a friend,0.8807,Positive
i have read this book several times over the years and have just started it again i have a copy of the watseka wonder by e w stevens mdcopyright date  austin publishing company and reprinted in  this book is hard to read due to the print but it is the facts on what happened to these two girls the watseka book is colored up a bit but the story is a true one i would recommend this book to anyone who does belive things do happen that we dont understand,0.775,Positive
does not work on fixed road speed radars or on overpasses fixed radarsit detects only signal frequencies and other random signalit was a bad experience,-0.5423,Negative
i agree with other reviewers despite description did not fit our tub we had to return it,0.1002,Positive
blegit is only on about  seconds max of this cd a huge ripoff the tunes are boring why would he associate himself with such garbage,0.0,Neutral
i love this series and it ended great plus it is always nice when the price fits my budget thanks,0.9325,Positive
silly plot bad acting waste of time save yourself and avoid this one i cant believe other reviewers actually take this film seriously,-0.7096,Negative
this is such a neat movie for kids and adults alike very clever well written and moves quickly as to not bore young ones robin williams as fender steals the show but all the characters are very likeable and teaches a good lesson about selfimage,0.9071,Positive
dont waste your money music is stupid bubbles are the only sound that actually do sound real the quality of the video stinks,-0.471,Negative
the quality of this video collection is poor on several of the movies only two were of a quality to enjoy the program,0.0258,Neutral
this book captures the true pain of what so many folks go through when addicted to another i highly recommendjohn d mooreauthor of confusing love with obsessionwhen you cant stop controlling your partner  the relationship,0.5702,Positive
excellent animated film based on a true story particularly fine james horner score only misstep is the unnecessary liveaction tag that jerks the viewer particularly children out of the fantasy alaskan world that the animation so painstakingly creates the tag could have been done just as well and worked better as a piece of animation,0.9165,Positive
this edition is a bit too trendy and especially too politically correct in some respects and omits many classic quotes featured in previous editions i shall stay with my th edition and actually wish i had kept my th and th as well hopefully the earlier variations are still available in nice condition at a reasonable price i intend to do a search for some of those earlier versions and i recommend that other serious quote book users do the same,0.9153,Positive
i absolutely loved this bookuntil i got to the part about the dogs i still cant get it out of my mind and have been feeling the urge to hug my dog ever since its a shame the author ruined what could have been a wonderful love storyoh and by the way i wonder if ms parkhurst is aware that neither dogs nor humans have the ability to swallow and therefore eat without a larynx i think she neglected some important research not only is the dog mutilation part of this book distasteful it is also not factual,0.8805,Positive
the product does not work as advertised and the heirarchy works like thiswhenever the cable is connected to the ps no other consoles sound will play the ps is always powered on when disconnected then the xbox audio will work but you must disconnect the xbox in order to play sound and improve the video of the n its as though i have to guess the combination that works when using consoles but one thing for sure it does not work well with when connected to all three consoles at one time,0.8601,Positive
it is so good the nigth watched i coldnt go to sleep  basta rymes has a good roll in this movie and the way killed jamie lee curtis was great and always wanted to who plays michel,0.8435,Positive
lucy is angry marino is angry kay is angry ive read and enjoyed every one of the kay scarpetta novels up until now but the characters have become as predictable as taxes even those who made their debut in this one  diane bray jay talley det anderson  are cardboard to add insult to injury the dialogue was often inane and we learned virtually nothing about the killer other than bizarre surface facts looks like patricia cornwell phoned this one in,-0.757,Negative
ms krall has discovered the cure to insomnia what happened to the diana krall of all for you,0.0,Neutral
after fleeing her abusive husband alison gets as far as ohio when her car breaks down fortunately the small town in which she finds herself stranded welcomes her with open arms her new landlady refers her to her brother tyler to fix the broken car little imagining that tyler will repair alisons broken heart over the next few months alison finds work friends and the joy she thought she had lost tylers entire family becomes hers yet fear of her husband lingers as her divorces finalization comes closer the man becomes determined to regain his wife and tyler wants to know where he stands with alison haunted and tormented by her past alison is unable to see what the future holds is tys love strong enough to wait the journey alison makes from victim to victor is heartwarming loves power is clearly seen throughout the book reviewed by amanda killgore freelance reviewer,0.8779,Positive
a good book overall good description of the work and the dangers etc i have  years underground and think that his description is pretty reasonable my only complaint is that he simply did not like the work and it simply was a money maker out of desperation this is true for many people but believe it or not a whole lot of us like iti found his descriptions of the equipment and the processes as that described by someone that really doesnt like it but has to take it a bit like a root canal well since we are pricing ourselves out of the world market the desperate  doomed men will no longer roam the depths,-0.9455,Negative
donata mocenigo and her twin sister  watch in the shadows as their parents make it their main concern to find a husband for their sister the venetian economy states one thing is likely about venices ladies the oldest daughter normally marries but the younger normally do not a romance eventually begins to form of course but donata wants more she wants to travel she wants to know what else is out there she wants to be educated like her brothers she takes boy clothes and sets into the city to see what its like to be a boy she befriends an attractive young boy who helps her with her job she cant read or writeand with help from her sisters the adventures into the city go unnoticed by her parentsdonata is immune to the prejudice and is able to avoid an arranged marriage by falsely converting to judaism like the boy she befriendeda good book but confusing,0.9502,Positive
